snapped_lat,snapped_lon,status,walkscore,description,updated
40.242,-80.2005,1,4,Car-Dependent,2015-01-19 17:48:49.187280
40.242,-80.1945,1,4,Car-Dependent,2015-01-19 17:48:49.287520
40.242,-80.19,1,7,Car-Dependent,2015-02-01 13:02:05.312170
40.242,-80.1855,1,10,Car-Dependent,2015-02-01 13:02:07.766910
40.242,-80.1795,1,14,Car-Dependent,2015-02-01 13:02:05.093420
40.242,-80.175,1,10,Car-Dependent,2015-02-01 13:02:05.938410
40.242,-80.1705,1,1,Car-Dependent,2015-02-01 13:02:07.483760
40.242,-80.1645,1,0,Car-Dependent,2015-02-01 13:02:05.152120
40.242,-80.16,1,0,Car-Dependent,2015-02-01 13:02:05.752490
40.242,-80.1555,1,0,Car-Dependent,2015-02-01 13:02:05.559590
40.242,-80.1495,1,0,Car-Dependent,2014-10-28 11:03:13.719300
40.242,-80.145,1,0,Car-Dependent,2015-02-01 13:02:01.809550
40.242,-80.1405,1,0,Car-Dependent,2015-02-01 13:02:06.936370
40.242,-80.1345,1,0,Car-Dependent,2015-02-01 13:01:59.116640
40.242,-80.13,1,0,Car-Dependent,2015-01-23 03:49:19.801800
40.242,-80.1255,1,0,Car-Dependent,2015-02-01 13:02:05.693250
40.242,-80.1195,1,0,Car-Dependent,2015-02-01 13:02:01.408990
40.242,-80.115,1,0,Car-Dependent,2015-02-01 13:02:02.248560
40.242,-80.1105,1,0,Car-Dependent,2015-02-01 13:02:02.426010
40.242,-80.1045,1,0,Car-Dependent,2015-02-01 13:02:00.030920
40.242,-80.1,1,0,Car-Dependent,2015-02-01 13:01:59.509410
40.242,-80.0955,1,0,Car-Dependent,2015-02-01 13:02:05.204630
40.242,-80.0895,1,0,Car-Dependent,2015-02-01 13:02:07.077310
40.242,-80.085,1,0,Car-Dependent,2014-09-29 20:36:09.409760
40.242,-80.0805,1,0,Car-Dependent,2014-11-17 19:13:22.822770
40.242,-80.0745,1,0,Car-Dependent,2015-02-01 13:02:07.735740
40.242,-80.07,1,4,Car-Dependent,2015-02-01 13:02:00.810510
40.242,-80.0655,1,2,Car-Dependent,2015-02-01 13:01:59.209820
40.242,-80.0595,1,1,Car-Dependent,2015-02-01 13:02:07.464380
40.242,-80.055,1,1,Car-Dependent,2015-02-01 13:02:07.256430
40.242,-80.0505,1,3,Car-Dependent,2015-02-01 13:02:00.226340
40.242,-80.0445,1,1,Car-Dependent,2015-02-01 13:02:05.541170
40.242,-80.04,1,8,Car-Dependent,2015-02-01 13:02:07.717470
40.242,-80.0355,1,15,Car-Dependent,2015-02-01 13:02:00.577040
40.242,-80.0295,1,9,Car-Dependent,2015-02-01 13:02:05.998500
40.242,-80.025,1,0,Car-Dependent,2015-02-01 13:02:07.537530
40.242,-80.0205,1,0,Car-Dependent,2015-02-01 13:02:07.190000
40.242,-80.0145,1,1,Car-Dependent,2015-02-01 13:02:05.889760
40.242,-80.01,1,1,Car-Dependent,2015-02-01 13:02:05.442550
40.242,-80.0055,1,2,Car-Dependent,2015-02-01 13:02:07.057110
40.242,-79.9995,1,11,Car-Dependent,2014-10-23 20:24:37.431920
40.242,-79.995,1,4,Car-Dependent,2015-02-01 12:42:18.372580
40.242,-79.9905,1,0,Car-Dependent,2015-02-01 12:42:23.280500
40.242,-79.9845,1,0,Car-Dependent,2015-02-01 12:42:16.887940
40.242,-79.98,1,0,Car-Dependent,2015-02-01 12:42:22.940240
40.242,-79.9755,1,0,Car-Dependent,2014-12-10 17:26:46.806680
40.242,-79.9695,1,0,Car-Dependent,2015-02-01 12:42:22.743580
40.242,-79.965,1,0,Car-Dependent,2015-02-01 12:42:18.213340
40.242,-79.9605,1,0,Car-Dependent,2014-08-10 07:06:37.454230
40.242,-79.9545,1,0,Car-Dependent,2015-02-01 12:42:16.590090
40.242,-79.95,1,0,Car-Dependent,2015-02-01 12:42:22.615490
40.242,-79.9455,1,0,Car-Dependent,2015-02-01 12:42:19.247300
40.242,-79.9395,1,0,Car-Dependent,2015-02-01 12:42:21.335040
40.242,-79.935,1,0,Car-Dependent,2015-02-01 12:42:18.231440
40.242,-79.9305,1,0,Car-Dependent,2015-02-01 12:42:22.680050
40.242,-79.9245,1,0,Car-Dependent,2015-02-01 12:42:16.786900
40.242,-79.92,1,0,Car-Dependent,2015-02-01 12:42:21.526850
40.242,-79.9155,1,0,Car-Dependent,2015-02-01 12:42:16.949890
40.242,-79.9095,1,0,Car-Dependent,2015-02-01 12:42:16.297360
40.242,-79.905,1,0,Car-Dependent,2015-02-01 12:42:16.529120
40.242,-79.9005,1,0,Car-Dependent,2014-08-04 20:03:24.315460
40.242,-79.8945,1,0,Car-Dependent,2015-02-01 12:42:20.925690
40.242,-79.89,1,0,Car-Dependent,2015-02-01 12:42:22.527960
40.242,-79.8855,1,3,Car-Dependent,2014-09-12 14:12:15.881180
40.242,-79.8795,1,4,Car-Dependent,2015-02-01 12:42:16.410290
40.242,-79.875,1,0,Car-Dependent,2015-02-01 12:42:21.028470
40.242,-79.8705,1,3,Car-Dependent,2015-02-01 12:42:19.277680
40.242,-79.8645,1,0,Car-Dependent,2015-02-01 12:42:20.819340
40.242,-79.86,1,1,Car-Dependent,2015-02-01 12:42:16.236210
40.242,-79.8555,1,0,Car-Dependent,2015-02-01 12:42:16.826140
40.242,-79.8495,1,1,Car-Dependent,2015-02-01 12:42:16.130550
40.242,-79.845,1,2,Car-Dependent,2015-02-01 12:42:21.165980
40.242,-79.8405,1,3,Car-Dependent,2015-02-01 12:42:22.442360
40.242,-79.8345,1,2,Car-Dependent,2015-02-01 12:42:20.873860
40.242,-79.83,1,1,Car-Dependent,2015-02-01 12:42:16.358750
40.242,-79.8255,1,0,Car-Dependent,2015-02-01 12:42:20.972110
40.242,-79.8195,1,0,Car-Dependent,2015-02-01 12:42:19.049560
40.242,-79.815,1,0,Car-Dependent,2015-02-01 12:42:20.760320
40.242,-79.8105,1,0,Car-Dependent,2014-08-19 00:01:01.428620
40.242,-79.8045,1,0,Car-Dependent,2015-02-01 12:42:19.305180
40.242,-79.8,1,0,Car-Dependent,2015-02-01 12:42:16.160980
40.2465,-80.2005,1,11,Car-Dependent,2015-02-01 13:02:05.122980
40.2465,-80.1945,1,11,Car-Dependent,2014-10-10 21:55:27.442750
40.2465,-80.19,1,6,Car-Dependent,2015-02-01 13:02:07.127580
40.2465,-80.1855,1,19,Car-Dependent,2015-02-01 13:02:04.979700
40.2465,-80.1795,1,15,Car-Dependent,2015-01-21 10:18:08.846430
40.2465,-80.175,1,13,Car-Dependent,2014-09-27 07:10:18.148120
40.2465,-80.1705,1,7,Car-Dependent,2015-02-01 13:02:01.547570
40.2465,-80.1645,1,2,Car-Dependent,2014-10-10 21:55:25.904560
40.2465,-80.16,1,1,Car-Dependent,2015-02-01 13:01:58.802220
40.2465,-80.1555,1,0,Car-Dependent,2015-02-01 13:02:00.918180
40.2465,-80.1495,1,0,Car-Dependent,2015-02-01 13:02:06.966010
40.2465,-80.145,1,0,Car-Dependent,2014-11-21 21:13:54.170100
40.2465,-80.1405,1,0,Car-Dependent,2015-01-02 03:24:29.347570
40.2465,-80.1345,1,1,Car-Dependent,2015-02-01 13:02:05.830500
40.2465,-80.13,1,0,Car-Dependent,2015-02-01 13:02:07.401800
40.2465,-80.1255,1,0,Car-Dependent,2015-02-01 13:01:58.948240
40.2465,-80.1195,1,0,Car-Dependent,2015-02-01 13:02:05.481360
40.2465,-80.115,1,0,Car-Dependent,2015-02-01 13:02:05.646710
40.2465,-80.1105,1,0,Car-Dependent,2015-02-01 13:02:07.599990
40.2465,-80.1045,1,0,Car-Dependent,2015-02-01 13:02:05.259960
40.2465,-80.1,1,0,Car-Dependent,2015-02-01 13:01:59.845740
40.2465,-80.0955,1,0,Car-Dependent,2014-11-04 11:59:08.208670
40.2465,-80.0895,1,0,Car-Dependent,2014-10-20 05:33:31.691610
40.2465,-80.085,1,0,Car-Dependent,2014-12-13 16:16:25.594210
40.2465,-80.0805,1,0,Car-Dependent,2014-11-21 19:42:48.887060
40.2465,-80.0745,1,0,Car-Dependent,2015-02-01 13:02:04.999480
40.2465,-80.07,1,0,Car-Dependent,2015-02-01 13:02:05.286350
40.2465,-80.0655,1,0,Car-Dependent,2014-10-07 11:52:34.839710
40.2465,-80.0595,1,1,Car-Dependent,2015-02-01 13:02:01.629790
40.2465,-80.055,1,0,Car-Dependent,2014-10-20 05:33:31.723310
40.2465,-80.0505,1,2,Car-Dependent,2014-10-03 15:26:51.392350
40.2465,-80.0445,1,14,Car-Dependent,2014-12-05 02:50:07.882780
40.2465,-80.04,1,6,Car-Dependent,2014-10-23 23:32:23.834600
40.2465,-80.0355,1,16,Car-Dependent,2015-02-01 13:02:05.425380
40.2465,-80.0295,1,11,Car-Dependent,2015-02-01 13:01:59.710090
40.2465,-80.025,1,6,Car-Dependent,2015-02-01 13:02:01.903300
40.2465,-80.0205,1,3,Car-Dependent,2014-12-27 14:48:04.640550
40.2465,-80.0145,1,5,Car-Dependent,2014-10-22 00:47:28.194050
