snapped_lat,snapped_lon,status,walkscore,description,updated
40.341,-80.1,1,4,Car-Dependent,2014-10-27 19:28:08.501310
40.341,-80.0955,1,1,Car-Dependent,2014-10-28 19:22:59.388660
40.341,-80.0895,1,3,Car-Dependent,2014-11-14 21:23:45.557970
40.341,-80.085,1,3,Car-Dependent,2014-12-28 15:59:08.113590
40.341,-80.0805,1,5,Car-Dependent,2014-10-29 05:59:28.057150
40.341,-80.0745,1,5,Car-Dependent,2014-10-03 02:19:40.108400
40.341,-80.07,1,9,Car-Dependent,2014-10-06 18:14:29.037660
40.341,-80.0655,1,17,Car-Dependent,2014-11-14 08:53:00.199920
40.341,-80.0595,1,33,Car-Dependent,2014-03-18 01:43:56.691110
40.341,-80.055,1,32,Car-Dependent,2014-03-18 01:41:41.378170
40.341,-80.0505,1,68,Somewhat Walkable,2014-08-10 04:24:51.179510
40.341,-80.0445,1,16,Car-Dependent,2014-12-25 09:09:53.945830
40.341,-80.04,1,16,Car-Dependent,2014-12-11 23:24:05.572890
40.341,-80.0355,1,42,Car-Dependent,2014-07-23 21:27:36.412380
40.341,-80.0295,1,41,Car-Dependent,2014-10-30 17:50:24.395270
40.341,-80.025,1,55,Somewhat Walkable,2014-11-18 20:20:52.256660
40.341,-80.0205,1,43,Car-Dependent,2014-10-16 21:15:13.530420
40.341,-80.0145,1,15,Car-Dependent,2014-11-04 09:22:44.284300
40.341,-80.01,1,12,Car-Dependent,2014-08-05 15:13:35.000500
40.341,-80.0055,1,15,Car-Dependent,2014-12-06 04:19:58.372420
40.341,-79.9995,1,14,Car-Dependent,2015-01-07 04:06:37.951970
40.341,-79.995,1,13,Car-Dependent,2014-07-21 17:06:12.060140
40.341,-79.9905,1,27,Car-Dependent,2014-12-06 14:29:48.340570
40.341,-79.9845,1,34,Car-Dependent,2014-09-17 06:10:25.356460
40.341,-79.98,1,32,Car-Dependent,2014-11-10 20:02:55.282780
40.341,-79.9755,1,39,Car-Dependent,2014-10-16 21:14:04.812640
40.341,-79.9695,1,41,Car-Dependent,2014-10-01 02:37:18.749570
40.341,-79.965,1,68,Somewhat Walkable,2014-08-27 20:33:01.218090
40.341,-79.9605,1,58,Somewhat Walkable,2014-11-26 13:13:56.047030
40.341,-79.9545,1,50,Somewhat Walkable,2014-10-21 16:07:59.094980
40.341,-79.95,1,51,Somewhat Walkable,2014-03-17 21:27:12.173510
40.341,-79.9455,1,31,Car-Dependent,2014-03-17 21:25:54.485780
40.341,-79.9395,1,35,Car-Dependent,2014-03-17 21:25:13.195140
40.341,-79.935,1,28,Car-Dependent,2014-10-23 15:04:48.862800
40.341,-79.9305,1,23,Car-Dependent,2014-12-11 23:19:47.121720
40.341,-79.9245,1,10,Car-Dependent,2014-07-18 01:10:24.410490
40.341,-79.92,1,8,Car-Dependent,2014-10-03 01:42:33.141360
40.341,-79.9155,1,6,Car-Dependent,2014-11-08 05:59:13.899980
40.341,-79.9095,1,2,Car-Dependent,2014-09-29 14:51:59.640490
40.341,-79.905,1,1,Car-Dependent,2014-03-17 21:27:26.153790
40.347,-80.1,1,9,Car-Dependent,2014-08-05 15:13:34.855020
40.347,-80.0955,1,8,Car-Dependent,2015-01-17 00:39:54.012420
40.347,-80.0895,1,4,Car-Dependent,2014-11-05 14:02:37.536900
40.347,-80.085,1,7,Car-Dependent,2014-07-31 12:22:17.113660
40.347,-80.0805,1,1,Car-Dependent,2014-10-10 09:59:20.400040
40.347,-80.0745,1,8,Car-Dependent,2014-12-29 21:38:05.152090
40.347,-80.07,1,11,Car-Dependent,2014-12-17 17:02:57.470790
40.347,-80.0655,1,25,Car-Dependent,2014-09-26 20:16:22.946640
40.347,-80.0595,1,43,Car-Dependent,2014-11-28 13:15:27.157760
40.347,-80.055,1,71,Very Walkable,2014-12-09 10:11:04.483310
40.347,-80.0505,1,64,Somewhat Walkable,2014-10-15 09:52:01.665370
40.347,-80.0445,1,51,Somewhat Walkable,2014-03-18 01:40:51.067450
40.347,-80.04,1,26,Car-Dependent,2014-10-10 09:58:46.383900
40.347,-80.0355,1,29,Car-Dependent,2014-09-26 20:16:35.834070
40.347,-80.0295,1,38,Car-Dependent,2014-10-30 21:46:32.414650
40.347,-80.025,1,43,Car-Dependent,2015-01-19 17:29:26.886580
40.347,-80.0205,1,24,Car-Dependent,2014-11-26 03:25:11.792220
40.347,-80.0145,1,18,Car-Dependent,2014-03-18 01:41:45.678440
40.347,-80.01,1,13,Car-Dependent,2014-08-13 01:26:40.699220
40.347,-80.0055,1,25,Car-Dependent,2015-01-07 19:12:35.187940
40.347,-79.9995,1,27,Car-Dependent,2014-10-10 09:40:37.264390
40.347,-79.995,1,38,Car-Dependent,2014-11-19 23:11:00.079020
40.347,-79.9905,1,41,Car-Dependent,2015-01-18 16:10:50.765470
40.347,-79.9845,1,40,Car-Dependent,2014-11-28 13:00:09.152290
40.347,-79.98,1,35,Car-Dependent,2014-11-13 12:36:19.706640
40.347,-79.9755,1,30,Car-Dependent,2014-08-17 22:21:10.969520
40.347,-79.9695,1,40,Car-Dependent,2014-10-27 18:23:42.180770
40.347,-79.965,1,40,Car-Dependent,2014-08-05 15:09:52.306790
40.347,-79.9605,1,32,Car-Dependent,2015-01-11 23:08:10.174410
40.347,-79.9545,1,33,Car-Dependent,2014-11-06 06:03:08.286330
40.347,-79.95,1,34,Car-Dependent,2014-03-17 21:34:36.306080
40.347,-79.9455,1,31,Car-Dependent,2014-03-17 21:33:12.986980
40.347,-79.9395,1,28,Car-Dependent,2014-03-17 21:34:49.021190
40.347,-79.935,1,25,Car-Dependent,2014-11-20 10:52:10.866710
40.347,-79.9305,1,17,Car-Dependent,2014-08-28 20:26:07.218380
40.347,-79.9245,1,17,Car-Dependent,2014-10-25 17:20:39.414590
40.347,-79.92,1,15,Car-Dependent,2014-03-17 21:25:08.211970
40.347,-79.9155,1,8,Car-Dependent,2014-03-17 21:27:31.253920
40.347,-79.9095,1,0,Car-Dependent,2015-01-09 22:38:07.315600
40.347,-79.905,1,0,Car-Dependent,2015-01-06 08:13:37.057410
40.3515,-80.1,1,21,Car-Dependent,2014-10-23 15:03:50.566510
40.3515,-80.0955,1,7,Car-Dependent,2014-08-22 14:00:00.598700
40.3515,-80.0895,1,4,Car-Dependent,2014-11-05 14:02:37.489940
40.3515,-80.085,1,6,Car-Dependent,2014-03-18 01:45:04.895550
40.3515,-80.0805,1,2,Car-Dependent,2014-10-13 15:35:41.857440
40.3515,-80.0745,1,13,Car-Dependent,2015-01-18 16:11:00.333770
40.3515,-80.07,1,13,Car-Dependent,2014-10-06 18:15:04.565070
40.3515,-80.0655,1,25,Car-Dependent,2014-11-05 02:04:01.180000
40.3515,-80.0595,1,47,Car-Dependent,2014-11-11 19:21:43.616470
40.3515,-80.055,1,63,Somewhat Walkable,2014-11-14 21:23:47.495950
40.3515,-80.0505,1,67,Somewhat Walkable,2014-09-26 20:16:34.427370
40.3515,-80.0445,1,47,Car-Dependent,2014-10-25 17:50:17.448510
40.3515,-80.04,1,24,Car-Dependent,2014-11-23 17:58:46.185360
40.3515,-80.0355,1,19,Car-Dependent,2014-12-18 15:02:08.589520
40.3515,-80.0295,1,31,Car-Dependent,2014-11-13 12:32:29.332370
40.3515,-80.025,1,33,Car-Dependent,2014-08-22 14:00:00.364370
40.3515,-80.0205,1,22,Car-Dependent,2014-03-27 02:34:27.696100
40.3515,-80.0145,1,21,Car-Dependent,2014-03-24 04:58:08.712740
40.3515,-80.01,1,34,Car-Dependent,2014-12-22 02:31:16.062490
40.3515,-80.0055,1,22,Car-Dependent,2014-09-04 08:55:05.722860
40.3515,-79.9995,1,25,Car-Dependent,2014-11-18 20:19:34.816320
40.3515,-79.995,1,33,Car-Dependent,2014-11-11 19:21:31.594550
40.3515,-79.9905,1,24,Car-Dependent,2014-12-23 10:17:30.095450
40.3515,-79.9845,1,21,Car-Dependent,2014-10-23 15:04:46.205280
40.3515,-79.98,1,38,Car-Dependent,2014-10-03 01:42:33.292650
40.3515,-79.9755,1,37,Car-Dependent,2014-11-17 17:24:32.450420
40.3515,-79.9695,1,12,Car-Dependent,2014-08-11 16:20:03.428860
40.3515,-79.965,1,32,Car-Dependent,2014-10-01 02:37:43.802200
40.3515,-79.9605,1,22,Car-Dependent,2014-10-01 02:37:18.919720
40.3515,-79.9545,1,34,Car-Dependent,2014-03-17 21:32:03.855450
40.3515,-79.95,1,37,Car-Dependent,2014-03-17 21:30:15.708830
40.3515,-79.9455,1,37,Car-Dependent,2014-03-17 21:29:27.795640
40.3515,-79.9395,1,20,Car-Dependent,2014-03-17 21:34:29.366560
40.3515,-79.935,1,25,Car-Dependent,2014-03-17 21:34:53.748370
40.3515,-79.9305,1,23,Car-Dependent,2014-03-17 21:33:56.060790
40.3515,-79.9245,1,20,Car-Dependent,2014-03-17 21:35:16.533190
40.3515,-79.92,1,9,Car-Dependent,2014-04-30 07:29:27.226070
40.3515,-79.9155,1,18,Car-Dependent,2014-08-06 21:05:40.000920
40.3515,-79.9095,1,5,Car-Dependent,2014-10-23 15:05:07.805000
40.3515,-79.905,1,14,Car-Dependent,2014-03-17 21:34:57.855860
40.356,-80.1,1,26,Car-Dependent,2014-04-25 17:37:25.524910
40.356,-80.0955,1,13,Car-Dependent,2014-10-12 06:39:19.503590
40.356,-80.0895,1,7,Car-Dependent,2014-09-29 15:01:57.394360
40.356,-80.085,1,4,Car-Dependent,2015-01-15 15:51:27.411050
40.356,-80.0805,1,6,Car-Dependent,2014-12-28 15:59:08.146520
40.356,-80.0745,1,4,Car-Dependent,2014-11-04 16:39:31.116410
40.356,-80.07,1,18,Car-Dependent,2014-08-26 14:42:20.367420
40.356,-80.0655,1,21,Car-Dependent,2014-10-06 18:15:00.687440
40.356,-80.0595,1,36,Car-Dependent,2014-07-07 03:31:57.973200
40.356,-80.055,1,54,Somewhat Walkable,2015-01-17 00:39:50.308130
40.356,-80.0505,1,70,Very Walkable,2014-08-24 12:14:32.381380
40.356,-80.0445,1,53,Somewhat Walkable,2014-11-04 09:22:44.002440
40.356,-80.04,1,18,Car-Dependent,2014-09-26 20:16:29.630290
40.356,-80.0355,1,32,Car-Dependent,2014-10-06 18:14:49.954260
40.356,-80.0295,1,41,Car-Dependent,2014-09-29 15:02:23.971810
40.356,-80.025,1,54,Somewhat Walkable,2014-03-24 04:56:53.263000
40.356,-80.0205,1,38,Car-Dependent,2014-03-25 19:47:34.111890
40.356,-80.0145,1,31,Car-Dependent,2014-03-24 04:58:19.585040
40.356,-80.01,1,35,Car-Dependent,2014-11-30 14:53:34.267200
40.356,-80.0055,1,26,Car-Dependent,2014-10-16 21:15:08.329660
40.356,-79.9995,1,26,Car-Dependent,2014-11-02 19:59:46.583750
40.356,-79.995,1,29,Car-Dependent,2014-10-15 09:10:04.095860
40.356,-79.9905,1,27,Car-Dependent,2014-12-08 14:16:29.221650
40.356,-79.9845,1,27,Car-Dependent,2014-08-01 23:52:39.581570
40.356,-79.98,1,46,Car-Dependent,2014-10-01 02:37:16.428690
40.356,-79.9755,1,43,Car-Dependent,2014-03-24 04:27:29.779520
40.356,-79.9695,1,12,Car-Dependent,2014-07-25 10:48:51.390750
40.356,-79.965,1,17,Car-Dependent,2014-10-06 17:15:35.863040
40.356,-79.9605,1,12,Car-Dependent,2014-11-21 11:33:14.354990
40.356,-79.9545,1,15,Car-Dependent,2014-12-17 16:51:16.431630
40.356,-79.95,1,20,Car-Dependent,2014-03-17 21:30:34.411770
40.356,-79.9455,1,21,Car-Dependent,2014-03-17 21:31:03.052690
40.356,-79.9395,1,0,Car-Dependent,2014-03-17 21:31:15.006960
40.356,-79.935,1,5,Car-Dependent,2014-03-17 21:34:31.159550
40.356,-79.9305,1,14,Car-Dependent,2014-03-17 21:28:17.665140
40.356,-79.9245,1,17,Car-Dependent,2014-03-17 21:34:09.571960
40.356,-79.92,1,4,Car-Dependent,2014-10-03 01:42:30.786970
40.356,-79.9155,1,18,Car-Dependent,2014-08-17 22:21:12.960820
40.356,-79.9095,1,22,Car-Dependent,2014-03-17 21:35:43.164810
40.356,-79.905,1,20,Car-Dependent,2014-12-25 08:54:57.560870
40.362,-80.1,1,29,Car-Dependent,2014-11-02 20:18:05.999650
40.362,-80.0955,1,21,Car-Dependent,2015-01-13 03:43:42.122240
40.362,-80.0895,1,12,Car-Dependent,2014-10-23 15:03:32.781080
40.362,-80.085,1,19,Car-Dependent,2014-03-18 01:43:32.461200
40.362,-80.0805,1,25,Car-Dependent,2014-11-13 12:32:34.211090
40.362,-80.0745,1,3,Car-Dependent,2014-10-27 19:28:16.834140
40.362,-80.07,1,22,Car-Dependent,2014-10-10 09:59:05.979060
40.362,-80.0655,1,24,Car-Dependent,2014-10-25 17:50:19.828590
40.362,-80.0595,1,11,Car-Dependent,2015-01-15 15:51:24.508970
40.362,-80.055,1,19,Car-Dependent,2015-01-07 04:05:36.960970
40.362,-80.0505,1,51,Somewhat Walkable,2014-10-06 18:14:21.217670
40.362,-80.0445,1,37,Car-Dependent,2014-10-06 18:14:55.810420
40.362,-80.04,1,37,Car-Dependent,2014-12-03 22:15:37.358220
40.362,-80.0355,1,40,Car-Dependent,2014-09-25 10:23:08.195080
40.362,-80.0295,1,53,Somewhat Walkable,2014-10-29 05:59:27.791500
40.362,-80.025,1,41,Car-Dependent,2014-10-13 06:00:31.777120
40.362,-80.0205,1,37,Car-Dependent,2014-12-18 04:59:44.213780
40.362,-80.0145,1,33,Car-Dependent,2014-10-15 09:52:05.866280
40.362,-80.01,1,30,Car-Dependent,2014-10-29 11:03:37.850010
40.362,-80.0055,1,29,Car-Dependent,2014-12-10 14:53:49.565800
40.362,-79.9995,1,43,Car-Dependent,2014-09-17 13:45:42.510310
40.362,-79.995,1,24,Car-Dependent,2014-10-03 01:42:36.697150
40.362,-79.9905,1,40,Car-Dependent,2014-09-29 14:51:46.032340
40.362,-79.9845,1,59,Somewhat Walkable,2014-03-24 04:26:26.141780
40.362,-79.98,1,58,Somewhat Walkable,2014-07-29 21:40:06.199720
40.362,-79.9755,1,44,Car-Dependent,2014-10-01 02:37:22.554740
40.362,-79.9695,1,29,Car-Dependent,2015-01-19 17:29:00.473850
40.362,-79.965,1,23,Car-Dependent,2014-10-01 02:37:23.128740
40.362,-79.9605,1,21,Car-Dependent,2014-11-13 12:36:15.876470
40.362,-79.9545,1,18,Car-Dependent,2014-03-24 04:25:53.573080
40.362,-79.95,1,3,Car-Dependent,2014-03-17 21:37:05.441460
40.362,-79.9455,1,7,Car-Dependent,2014-03-17 21:28:53.528710
40.362,-79.9395,1,7,Car-Dependent,2014-03-17 21:27:47.240580
40.362,-79.935,1,9,Car-Dependent,2014-03-17 21:27:33.906060
40.362,-79.9305,1,9,Car-Dependent,2014-10-13 05:50:11.122220
40.362,-79.9245,1,5,Car-Dependent,2014-03-17 21:27:59.904660
40.362,-79.92,1,18,Car-Dependent,2014-03-18 05:18:59.823140
40.362,-79.9155,1,21,Car-Dependent,2014-03-18 05:19:43.579490
40.362,-79.9095,1,7,Car-Dependent,2014-03-18 05:18:27.684920
40.362,-79.905,1,18,Car-Dependent,2014-08-01 23:52:41.488900
40.3665,-80.1,1,51,Somewhat Walkable,2014-08-01 23:48:19.735360
40.3665,-80.0955,1,43,Car-Dependent,2014-03-24 04:58:48.127400
40.3665,-80.0895,1,29,Car-Dependent,2014-10-23 15:03:44.489710
40.3665,-80.085,1,34,Car-Dependent,2014-10-25 17:50:18.162140
40.3665,-80.0805,1,30,Car-Dependent,2014-10-16 21:15:47.234670
40.3665,-80.0745,1,15,Car-Dependent,2014-10-27 19:27:57.892780
40.3665,-80.07,1,15,Car-Dependent,2014-11-02 14:08:13.113100
40.3665,-80.0655,1,21,Car-Dependent,2014-10-23 15:03:39.720920
40.3665,-80.0595,1,12,Car-Dependent,2014-12-29 21:38:09.772390
